"filename", "language", "Swift", "JSON", "Dart", "YAML", "C++", "Markdown", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\doraa\Github_repos\upcarta_mobile_app\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\doraa\Github_repos\upcarta_mobile_app\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 71, 4, 17, 92
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\google-services.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 2, 14
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 6, 35
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\doraa\Github_repos\upcarta_mobile_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\doraa\Github_repos\upcarta_mobile_app\firebase.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\doraa\Github_repos\upcarta_mobile_app\firestore.indexes.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\doraa\Github_repos\upcarta_mobile_app\ios\Runner\AppDelegate.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\doraa\Github_repos\upcarta_mobile_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\doraa\Github_repos\upcarta_mobile_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\doraa\Github_repos\upcarta_mobile_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\doraa\Github_repos\upcarta_mobile_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
